Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Sad and beautiful life,Demo ; Pangs -- ; Stranded -- ; The waking life of angels -- ; Volume one love story -- ; Waterbreather --,15739018,Monograph,Language material ; Text,Volume,GBB112289,9780857682437 ; 9781401229955,"Wood, Brian",1972-,person,,"Wood, Brian, 1972- [person] ; Cloonan, Becky [person]",,,United States of America,New York,DC Comics,2011,,"152 pages, chiefly illustrations, 26 cm",741.5973,YK.2011.b.15107,"Youth--Comic books, strips, etc ; Conduct of life--Comic books, strips, etc",Comic or graphic novel,English,'2'--Spine ; 'Originally published in single magazine form as Demo-Volume II 1-6'--T.p. verso ; 'Suggested for mature readers'--Back cover
Sadly never after,I hate fairyland. Volume four. Sadly never after,18891384,Monograph,Language material ; Still image ; Text,Volume,GBB8A1946,9781534306806,"Young, Skottie",,person,artist ; author,"Young, Skottie, artist ; author [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.2711,,Comic or graphic novel ; Fantasy,English,'Contains material originally published in single magazine form as I Hate Fairyland #16-20.'
Sadness prayer,Puella magi oriko magica. 4. Sadness prayer,19255289,Monograph,Language material ; Still image ; Text,Volume,GBB9J0000,9781975353247,Magica Quartet (Firm),,organisation,author,"Flanagan, William, translator [person] ; Lee, Xian Michele [person] ; Mura, Kuroe, illustrator [person] ; Magica Quartet (Firm), author [organisation]",,,United States of America,New York,,2018,First Yen Press edition,"1 volume (unpaged), chiefly black and white illustrations, 19 cm",741.5952,YKL.2019.a.19756,"Good and evil--Comic books, strips, etc ; Magic--Comic books, strips, etc ; Imaginary wars and battles--Comic books, strips, etc ; Teenage girls--Comic books, strips, etc",Comic or graphic novel,English,"Originally published in Japan in 2017 by HOUBUNSHA CO, LTD, Tokyo ; Reads right to left ; Translated from the Japanese"
Saenai heroine no sodate-kata,How to raise a boring girlfriend. 8 ; Saenai heroine no sodate-kata. 8. English,18541814,Monograph,Language material ; Still image ; Text,Volume,GBB7I6014,9780316472364,"Moriki, Takeshi",,person,artist,"Maruto, Fumiaki [person] ; Sivasubramanian, Kumar, translator [person] ; Misaki, Kurehito, artist [person] ; Moriki, Takeshi, artist [person]",,,United States of America,New York,,2017,First Yen Press edition,"approximately 160 pages, illustrations (black and white and colour), 19 cm",741.5952,YKL.2019.a.8948,"Interpersonal relations in adolescence--Comic books, strips, etc ; Video games--Design--Comic books, strips, etc ; High school students--Comic books, strips, etc",Comic or graphic novel ; Novel ; Young adult fiction,English,Pages numbered from right to left ; Translated from the Japanese
Saenai heroine no sodate-kata. 8. English,How to raise a boring girlfriend. 8 ; Saenai heroine no sodate-kata,18541814,Monograph,Language material ; Still image ; Text,Volume,GBB7I6014,9780316472364,"Moriki, Takeshi",,person,artist,"Maruto, Fumiaki [person] ; Sivasubramanian, Kumar, translator [person] ; Misaki, Kurehito, artist [person] ; Moriki, Takeshi, artist [person]",,,United States of America,New York,,2017,First Yen Press edition,"approximately 160 pages, illustrations (black and white and colour), 19 cm",741.5952,YKL.2019.a.8948,"Interpersonal relations in adolescence--Comic books, strips, etc ; Video games--Design--Comic books, strips, etc ; High school students--Comic books, strips, etc",Comic or graphic novel ; Novel ; Young adult fiction,English,Pages numbered from right to left ; Translated from the Japanese
Safari in Space,,15357755,Monograph,Language material ; Text,Volume,GBA984988,9781848563728,"Hampson, Frank",,person,,"Hampson, Frank [person]","Dan Dare, pilot of the future",,England,London,Titan,2009,,"1 volume, chiefly colour illustrations, 30 cm",741.5,,"Dan Dare (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Safe area Goražde,,10137286,Monograph,Language material ; Text,Volume,GBA0W3603,9781560973928,"Sacco, Joe",,person,,"Sacco, Joe [person]",,,England,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2000,,"ii, 227 pages, illustrations, maps, 27 cm",741.5973,YK.2002.b.498,"Bosnia and Hercegovina--History--1992---Comic books, strips, etc ; Yugoslav War, 1991-1995--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
Safe area Goražde,,15624333,Monograph,Language material ; Text,Volume,GBB096031,9781606993965,"Sacco, Joe",,person,,"Sacco, Joe [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2010,Special edition,"1 volume, chiefly illustrations, maps, 26 cm",741.5,,"Yugoslav War, 1991-1995--Comic books, strips, etc--Fiction ; Bosnia and Hercegovina--History--1992---Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
Safe as houses,House of Mystery. Safe as houses,15767336,Monograph,Language material ; Text,Volume,GBB131231,9780857685155 ; 9781401231545,"Sturges, Lilah",,person,,"Marzán, José, jr [person] ; Sturges, Lilah [person] ; Dell'Edera, Werther [person] ; Rossi, Luca [person]",,,United States of America,New York,DC Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.12053,"Comic books, strips, etc--United States ; Bars (Drinking establishments)--Comic books, strips, etc ; Storytelling--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,'6'--Spine ; 'Originally published in single magazine form as House of mystery #26-30'--T.p. verso ; 'Vertigo'--Cover
Saga of Mary Gold : the storyline that changed comics forever,Gumps. The saga of Mary Gold : the storyline that changed comics forever ; The Gumps : 1929,16425620,Monograph,Language material ; Still image ; Text,Volume,GBB3A5202,9781613775738,"Smith, Sidney",1877-1935,person,artist ; author,"Smith, Sidney, 1877-1935, artist ; author [person]",The Library of American Comics essentials,volume 2 [The Library of American Comics essentials],United States of America,"San Diego, California",,2013,,"342 pages, chiefly black and white illustrations, 12 x 31 cm",741.56973,LC.37.a.945,"Comic books, strips, etc--United States ; Gumps (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel,English,'A complete year of comics reproduced one per page'--Back cover
Saga of Tanya the Evil. Volume One,The saga of Tanya the Evil. 01 ; Yōjo Senki. English,18974663,Monograph,Language material ; Still image ; Text,Volume,,9780316444040,"Zen, Carlo",,person,author,"Balistrieri, Emily, translator [person] ; Zen, Carlo, author [person]",,,United States of America,New York,,2018,,"98 pages, 64 unnumbered pages, illustrations (black and white and colour), 19 cm",741.5952,YKL.2019.a.15147,"Magic--Comic books, strips, etc ; Child soldiers--Comic books, strips, etc ; Military art and science--Comic books, strips, etc",Comic or graphic novel,English,Printed from right to left ; Translated from the Japanese
Saga of a star world,,12881463,Monograph,Language material ; Text,Volume,GBA4W9543,9781840239300,"McKenzie, Roger",,person,,"Simonson, Walter [person] ; Janson, Klaus [person] ; Colón, Ernie [person] ; McKenzie, Roger [person]",Battlestar Galactica (Series),,England,London,Titan,2005,,"144? pages, colour illustrations, 26 cm",741.5,YK.2005.b.1087,"Space warfare--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Saga of the Allspark,,14777692,Monograph,Language material ; Text,Volume,GBA8B9108,9781600103582,"Furman, Simon",,person,,"Senior, Geoff [person] ; Furman, Simon [person]",Transformers movie prequel,,England ; United States of America,"London ; San Diego, California",Diamond,2009,,"101 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.5220,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Saga of the Sandman,,13590030,Monograph,Language material ; Text,Volume,GBA692246,9780785124979,,,,,"Lee, Stan, 1922-2018 [person] ; Ditko, Steve [person]",Spider-man,,England ; United States of America,London ; New York,Diamond ; Marvel,2007,,"174 pages, chiefly colour illustrations, 26 cm",741.5973,,"Spider-Man, (Fictitious character)--Comic books, strips etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Saga of the Swamp Thing. Book five,,15794633,Monograph,Language material ; Text,Volume,GBB149519,9780857685209 ; 9781401230951,"Moore, Alan",1953-,person,,"Wood, Tatjana [person] ; Costanza, John [person] ; Moore, Alan, 1953- [person] ; Veitch, Rick [person]",,,United States of America,New York,DC Comics,2011,,"166 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2011.b.11566,"Swamp Thing, (Fictitious character)--Comic books, strips, etc ; Monsters--Comic books, strips, etc",Comic or graphic novel ; Horror,English,'Originally published in magazine form as Swamp Thing 51-56 --T.p. verso
Saga of the Swamp Thing. Book five,,16515629,Monograph,Language material ; Still image ; Text,Volume,GBB392653,9781401230968,"Moore, Alan",1953-,person,,"Alcala, Alfredo P., illustrator [person] ; Totleben, John, illustrator [person] ; Veitch, Rick, illustrator [person] ; Moore, Alan, 1953- [person]",,,United States of America,New York,Vertigo,2013,,"166 pages, colour illustrations, 26 cm",741.5973,YKL.2016.b.2727,"COMICS & GRAPHIC NOVELS / Superheroes ; Swamp Thing, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
Saga of the Swamp Thing. Book four,,15690818,Monograph,Language material ; Text,Volume,GBB0D3898,9780857682352 ; 9781401230180,"Moore, Alan",1953-,person,,"Wood, Tatjana [person] ; Costanza, John [person] ; Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,United States of America,New York,DC Comics,2010,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.13746,,Comic or graphic novel ; Novel,English,'Originally published in magazine form as The saga of the Swamp Thing 43-45 and Swamp Thing 46-50'--T.p. verso
Saga of the Swamp Thing. Book six,,15856151,Monograph,Language material ; Text,Volume,GBB189011,9780857688927 ; 9781401232986,"Moore, Alan",1953-,person,,"Wood, Tatjana [person] ; Moore, Alan, 1953- [person] ; Costanza, John [person] ; Bissette, Stephen [person] ; Veitch, Rick [person]",,,United States of America,New York,DC Comics,2011,,"203 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2012.b.960,"Swamp Thing, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Novel,English,'Originally published as Swamp Thing 57-64 --T.p. verso ; 'Vertigo'--Jacket
Saga of the Swamp Thing. Book six,,16649759,Monograph,Language material ; Still image ; Text,Volume,GBB428853,9781401246921,"Moore, Alan",1953-,person,author ; illustrator,"Yeates, Thomas, illustrator [person] ; Veitch, Rick, author ; illustrator [person] ; Alcala, Alfredo P., illustrator [person] ; Moore, Alan, 1953-, author ; illustrator [person] ; Costanza, John [person] ; Wood, Tatjana, illustrator [person] ; Totleben, John, illustrator [person] ; Bissette, Stephen, author ; illustrator [person]",,,United States of America,New York,DC Comics,2014,,"203 pages, chiefly colour illustrations, 26 cm",741.5941,YKL.2015.b.850,"Graphic novels ; Swamp Thing, (Fictitious character)--Comic books, strips, etc--Fiction ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,'Issues 57-64 of Swamp Thing'--back cover
Saga of the Swamp Thing. Book three,,15632316,Monograph,Language material ; Text,Volume,GBB0A0442,9781401227661,"Moore, Alan",1953-,person,,"Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,United States of America,New York,DC Comics,2010,,"205 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.9169,"Swamp Thing, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,"'Originally published as The saga of the Swamp Thing 35-38 and Swamp Thing 39-42'--T.p. verso ; Artists include: Stephen Bissette, John Totleben, Stan Woch, Rick Veitch, Alfredo Alcala, Ron Randall"
Saga of the Swamp Thing. Book two,,15391933,Monograph,Language material ; Text,Volume,GBA9A0158,9781401225322 ; 9781848564664,"Moore, Alan",1953-,person,,"Wein, Len [person] ; Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,United States of America,New York,DC Comics,2009,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.6344,"Swamp Thing, (Fictitious character)--Comic books, strips, etc ; Graphic novels ; Horror comic books, strips, etc",Comic or graphic novel,English,'Originally published in magazine form as The saga of the Swamp Thing 28-34 and Swamp Thing annual 2'--T.p. verso ; 'Suggested for mature readers'--Back Cover ; 'Swamp Thing created by Len Wein and Bernie Wrightson.'
Saga of the super sons,,14200477,Monograph,Language material ; Text,Volume,GBA786879,9781401215026 ; 9781845766726,"Haney, Bob",,person,,"Haney, Bob [person] ; Dillin, Dick, 1928-1980 [person]",Superman/Batman,,United Kingdom ; United States of America,New York,DC Comics ; Titan,2007,,"240, 16 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2009.b.2589,"Batman, (Fictitious character)--Comic books, strips, etc ; Superman, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel,English,"'Originally published in single magazine form in World's Finest Comics 215, 216, 221, 222, 224, 228, 230, 231, 233, 238, 242, 263, Elseworlds 80 Page Giant 1.'--T.p. verso"
Saga of the swamp thing. Book 1,,14894897,Monograph,Language material ; Text,Volume,GBA910622,9781848561854,"Moore, Alan",1953-,person,,"Alcala, Alfredo P. [person] ; Totleben, John [person] ; Moore, Alan, 1953- [person]",,,England,London,Titan,2009,"New edition, foreword by Ramsey Campbell","1 volume, chiefly colour illustrations, 26 cm",741.5942,,"Horror comic books, strips, etc ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Saga of the swamp thing. Book 2,,16168829,Monograph,Language material ; Text,Volume,GBB292064,9781848564671,"Moore, Alan",1953-,person,,"Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,England,London,Titan,2012,New edition,"1 volume, chiefly colour illustrations, 26 cm",741.5941,,"Horror comic books, strips, etc ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Saga of the swamp thing. Book 3,,15535945,Monograph,Language material ; Text,Volume,GBB053397,9781848567887,"Moore, Alan",1953-,person,,"Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,England,London,Titan,2010,New edition,"1 volume, chiefly colour illustrations, 26 cm",741.5941,,"Horror comic books, strips, etc ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Saga of the swamp thing. Book 4,,16303741,Monograph,Language material ; Still image ; Text,Volume,GBB326842,9781401240462,"Moore, Alan",1953-,person,author,"Woch, Stan, artist [person] ; Bissette, Stephen, artist [person] ; Moore, Alan, 1953-, author [person]",,,United States of America,New York,DC Comics,2010,,"1 volume (unpaged), chiefly black and white illustrations",741.5941,,"Horror comic books, strips, etc ; Swamp Thing, (Fictitious character)--Comic books, strips, etc--Fiction ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Saga of the swamp thing. Book three,,16182223,Monograph,Language material ; Text,Volume,GBB299602,9781401227678,"Moore, Alan",1953-,person,,"Totleben, John [person] ; Moore, Alan, 1953- [person] ; Bissette, Stephen [person]",,,England ; United States of America,London ; New York,DC Comics ; Diamond,2013,,"1 volume (unpaged), chiefly colour illustrations",741.5941,,"Horror comic books, strips, etc ; Swamp Thing, (Fictitious character)--Comic books, strips, etc--Fiction ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,Originally published: 2010
